name,file_type.x,content_type,short_name,name_root
zeeguu_api/zeeguu_api/api/teacher_dashboard/general.py,py,py,general.py,general
zeeguu_api/zeeguu_api/api/teacher_dashboard/helpers.py,py,py,helpers.py,helpers
zeeguu_api/zeeguu_api/api/teacher_dashboard/permissions.py,py,py,permissions.py,permissions
zeeguu_api/zeeguu_api/api/teacher_dashboard/student.py,py,py,student.py,student
zeeguu_api/zeeguu_api/api/topics.py,py,py,topics.py,topics
zeeguu_api/zeeguu_api/api/translate_and_bookmark.py,py,py,translate_and_bookmark.py,translate_and_bookmark
zeeguu_api/zeeguu_api/api/translator.py,py,py,translator.py,translator
zeeguu_api/zeeguu_api/api/user_article.py,py,py,user_article.py,user_article
zeeguu_api/zeeguu_api/api/user_articles.py,py,py,user_articles.py,user_articles
zeeguu_api/zeeguu_api/api/user_languages.py,py,py,user_languages.py,user_languages
zeeguu_api/zeeguu_api/api/user_statistics.py,py,py,user_statistics.py,user_statistics
zeeguu_api/zeeguu_api/api/user.py,py,py,user.py,user
zeeguu_api/zeeguu_api/api/utils/feedparser_extensions.py,py,py,feedparser_extensions.py,feedparser_extensions
zeeguu_api/zeeguu_api/api/utils/json_result.py,py,py,json_result.py,json_result
zeeguu_api/zeeguu_api/api/utils/route_wrappers.py,py,py,route_wrappers.py,route_wrappers
zeeguu_api/zeeguu_api/app.py,py,py,app.py,app
zeeguu_api/zeeguu_core/account_management/user_account_creation.py,py,py,user_account_creation.py,user_account_creation
zeeguu_api/zeeguu_core/bookmark_quality/__init__.py,py,py,__init__.py,__init__
zeeguu_api/zeeguu_core/bookmark_quality/fit_for_study.py,py,py,fit_for_study.py,fit_for_study
zeeguu_api/zeeguu_core/bookmark_quality/negative_qualities.py,py,py,negative_qualities.py,negative_qualities
zeeguu_api/zeeguu_core/bookmark_quality/positive_qualities.py,py,py,positive_qualities.py,positive_qualities
zeeguu_api/zeeguu_core/bookmark_quality/top_bookmarks_for_user.py,py,py,top_bookmarks_for_user.py,top_bookmarks_for_user
zeeguu_api/zeeguu_core/configuration/__init__.py,py,py,__init__.py,__init__
zeeguu_api/zeeguu_core/configuration/configuration.py,py,py,configuration.py,configuration
zeeguu_api/zeeguu_core/content_recommender/__init__.py,py,py,__init__.py,__init__
zeeguu_api/zeeguu_core/content_recommender/elastic_first_recommender.py,py,py,elastic_first_recommender.py,elastic_first_recommender
zeeguu_api/zeeguu_core/content_recommender/elastic_recommender.py,py,py,elastic_recommender.py,elastic_recommender
zeeguu_api/zeeguu_core/content_recommender/mixed_recommender.py,py,py,mixed_recommender.py,mixed_recommender
zeeguu_api/zeeguu_core/content_retriever/article_downloader.py,py,py,article_downloader.py,article_downloader
zeeguu_api/zeeguu_core/content_retriever/content_cleaner.py,py,py,content_cleaner.py,content_cleaner
zeeguu_api/zeeguu_core/content_retriever/quality_filter.py,py,py,quality_filter.py,quality_filter
zeeguu_api/zeeguu_core/crowd_translations/__init__.py,py,py,__init__.py,__init__
zeeguu_api/zeeguu_core/definition_of_learned/__init__.py,py,py,__init__.py,__init__
zeeguu_api/zeeguu_core/elastic/converting_from_mysql.py,py,py,converting_from_mysql.py,converting_from_mysql
zeeguu_api/zeeguu_core/elastic/elastic_query_builder.py,py,py,elastic_query_builder.py,elastic_query_builder
zeeguu_api/zeeguu_core/emailer/password_reset.py,py,py,password_reset.py,password_reset
zeeguu_api/zeeguu_core/emailer/user_activity.py,py,py,user_activity.py,user_activity
zeeguu_api/zeeguu_core/emailer/zeeguu_mailer.py,py,py,zeeguu_mailer.py,zeeguu_mailer
zeeguu_api/zeeguu_core/exercises/similar_words.py,py,py,similar_words.py,similar_words
zeeguu_api/zeeguu_core/language/difficulty_estimator_strategy.py,py,py,difficulty_estimator_strategy.py,difficulty_estimator_strategy
zeeguu_api/zeeguu_core/language/strategies/cognacy_difficulty_estimator.py,py,py,cognacy_difficulty_estimator.py,cognacy_difficulty_estimator
zeeguu_api/zeeguu_core/language/strategies/cognacy_wh_difficulty_estimator.py,py,py,cognacy_wh_difficulty_estimator.py,cognacy_wh_difficulty_estimator
zeeguu_api/zeeguu_core/language/strategies/default_difficulty_estimator.py,py,py,default_difficulty_estimator.py,default_difficulty_estimator
zeeguu_api/zeeguu_core/language/strategies/flesch_kincaid_difficulty_estimator.py,py,py,flesch_kincaid_difficulty_estimator.py,flesch_kincaid_difficulty_estimator
zeeguu_api/zeeguu_core/language/strategies/frequency_difficulty_estimator.py,py,py,frequency_difficulty_estimator.py,frequency_difficulty_estimator
zeeguu_api/zeeguu_core/language/strategies/word_history_difficulty_estimator.py,py,py,word_history_difficulty_estimator.py,word_history_difficulty_estimator
zeeguu_api/zeeguu_core/language/strategies/word_rank_difficulty_estimator.py,py,py,word_rank_difficulty_estimator.py,word_rank_difficulty_estimator
zeeguu_api/zeeguu_core/model/__init__.py,py,py,__init__.py,__init__
zeeguu_api/zeeguu_core/model/article_word.py,py,py,article_word.py,article_word
zeeguu_api/zeeguu_core/model/article.py,py,py,article.py,article
zeeguu_api/zeeguu_core/model/articles_cache.py,py,py,articles_cache.py,articles_cache
zeeguu_api/zeeguu_core/model/bookmark_priority_arts.py,py,py,bookmark_priority_arts.py,bookmark_priority_arts
zeeguu_api/zeeguu_core/model/bookmark.py,py,py,bookmark.py,bookmark
zeeguu_api/zeeguu_core/model/cohort_article_map.py,py,py,cohort_article_map.py,cohort_article_map
zeeguu_api/zeeguu_core/model/cohort.py,py,py,cohort.py,cohort
zeeguu_api/zeeguu_core/model/domain_name.py,py,py,domain_name.py,domain_name
zeeguu_api/zeeguu_core/model/exercise_outcome.py,py,py,exercise_outcome.py,exercise_outcome
zeeguu_api/zeeguu_core/model/exercise_source.py,py,py,exercise_source.py,exercise_source
zeeguu_api/zeeguu_core/model/exercise.py,py,py,exercise.py,exercise
zeeguu_api/zeeguu_core/model/feed_registrations.py,py,py,feed_registrations.py,feed_registrations
zeeguu_api/zeeguu_core/model/feed.py,py,py,feed.py,feed
zeeguu_api/zeeguu_core/model/language.py,py,py,language.py,language
